city,iata_code
Jagdalpur,JGB
Neyveli,NVY
Rajouri,RJI
Tezu,TEI
Osmanabad,OMN
Ramagundam,RMD
Rewa,REW
Diu,DIU
Ahmedabad,AMD
Akola,AKD
Aurangabad,IXU
Mumbai,BOM
Bilaspur,PAB
Bhuj,BHJ
Belgaum,IXG
Vadodara,BDQ
Bhopal,BHO
Bhavnagar,BHU
Vasco da Gama,GOI
Hubli,HBX
Indore,IDR
Jamnagar,JGA
Kandla,IXY
Khajuraho,HJR
Nanded,NDC
Naqpur,NAG
Nasik,ISK
Pune,PNQ
Porbandar,PBD
Rajkot,RAJ
Raipur,RPR
Shirdi,SAG
Solapur,SSE
Udaipur,UDR
Agartala,IXA
Siliguri,IXB
Balurghat,RGH
Shillong,SHL
Bhubaneswar,BBI
Kolkata,CCU
Durgapur,RDP
Daporijo,DEP
Gorakhpur,GOP
Guwahati,GAU
Imphal,IMF
Jeypore,PYB
Jamshedpur,IXW
Jorhat,JRH
Silchar,IXS
Khowai,IXN
Aizawl,AJL
Lilabari,IXI
Malda,LDA
Dibrugarh,DIB
Dimapur,DMU
Pasighat,IXT
Patna,PAT
Ranchi,IXR
Visakhapatnam,VTZ
Ziro,ZER
Allahabad,IXD
Amritsar,ATQ
Adampur,AIP
Bikaner,BKB
Varanasi,VNS
Bareilly,BEK
Chandigarh,IXC
Kanpur,KNU
Dehradun,DED
Delhi,DEL
Gwalior,GWL
Jodhpur,JDH
Jaipur,JAI
Jammu,IXJ
Ajmer,KQH
Kota,KTU
Leh,IXL
Lucknow,LKO
Pathankot,IXP
Pantnagar,PGH
Srinagar,SXR
Latur,LTU
Thoothukudi,TCR
Bellary,BEP
Bangalore,BLR
Coimbatore,CJB
Kochi,COK
Calicut,CCJ
Kadapa,CDP
Hyderabad,HYD
Hyderabad,BPM
Kannur,CNN
Madurai,IXM
Mangalore,IXE
Chennai,MAA
Mysore,MYQ
Port Blair,IXZ
Pondicherry,PNY
Puttaparthi,PUT
Ramagundam,RMD
Rajahmundry,RJA
Salem,SXV
Thanjavur,TJV
Tirupati,TIR
Tiruchirappally,TRZ
Thiruvananthapuram,TRV
Warangal,WGC
